label,message
ham,Go until jurong point crazy.. Available only in bugis n great world la e buffet
ham,Ok lar Joking wif u oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005 Text FA to 87121 to receive entry question std txt rate T&C apply over18s
ham,U dun say so early hor U c already then say
ham,Nah I dont think he goes to usf he lives around here though
spam,FreeMsg Hey there darling its been 3 weeks now and no word back I would like some fun you up for it still Tb ok
ham,Even my brother is not like to speak with me They treat me like aids patent
ham,As per your request Melle Melle has been set as your callertune for all Callers
spam,WINNER!! As a valued network customer you have been selected to receive a prize reward of 900 pounds! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,Im gonna be home soon and i dont want to talk about this stuff anymore tonight. k? Ive cried enough today.
spam,SIX chances to win CASH! From 100 to 20000 pounds txt CSH11 and send to 87575. Cost 150p/day 6days 16+
spam,URGENT! You have won a 1 week FREE membership in our prize jackpot! Text YES to 87010
ham,Ive been searching for the right words to thank you for this wonderful time
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
spam,XXX Mobile movies extra 3g 5 MMS FREE get 1 week FREE INTERNET! To stop send STOP to 83334
ham,Oh k im watching here
spam,England v Macedonia dont miss the goals. Txt ur national team to 87077. 1.20 pm. Reply STOP to unsubscribe.
ham,Is that seriously how you spell his name?
ham,Im going to try for 2 months ha ha only joking
spam,If you have questions about your transaction call our free hotline now at 1-800-123-4567 urgent action required
spam,Congratulations! You have been selected for our exclusive lottery! Click here to claim your free prize now!
ham,Hey are you free this weekend?
spam,WIN A FREE iPhone! Click this link now to claim your reward! Offer expires today!
ham,Can you pick up some milk on the way home?
spam,URGENT: Your account has been compromised. Click here immediately to verify at the link provided.
ham,Meeting rescheduled to 3pm tomorrow. See you there.
spam,Congratulations you have won a free lottery ticket! Call now to claim your prize money!
ham,Thanks for the birthday wishes everyone!
spam,Get rich quick! Work from home and earn 5000 dollars per week. Click here for free info now!
ham,Ill be there in 10 minutes
spam,Free ringtones! Text RING to 85069 for unlimited free downloads. Offer limited act now!
ham,Did you see the game last night? Amazing finish
spam,Your mobile number has been awarded a 2000 pound bonus. To claim call now. Valid for 24 hours only.
ham,What time does the library close today?
spam,Click now to win a brand new car! Free entry no purchase necessary. Lottery ends tonight!
ham,just got back from the dentist all clear!
spam,Urgent notice: You have an unclaimed refund of 500 dollars. Visit the link to claim today.
ham,Are you coming to the party on Saturday?
spam,Exclusive offer for you! Buy now and get 50% off everything. Limited time only click to redeem!
ham,Heading out for lunch back in an hour
spam,You have been pre-approved for a 10000 dollar loan! No credit check needed. Call free now.
ham,The project deadline is next Friday
spam,FREE MESSAGE: Claim your free mobile upgrade. Text UPGRADE to 62220.
ham,Happy to help anytime you need!
spam,Win big money in our online lottery! Register now for free and start winning today!
ham,Just wanted to say hi and hope youre doing well
spam,ALERT: Suspicious activity detected on your account. Click here urgently to secure it.
ham,Can we reschedule our meeting to Thursday?
spam,Earn money online now! Free signup instant cash rewards available.
ham,Great talking to you today!
spam,Youre a winner! Claim your free gift card worth 500 dollars. Limited offer act now before it expires!
ham,Ill send you the report by end of day
spam,HOT OFFER cheap Viagra free samples available. Order now and get 3 free bottles!
ham,See you at the conference next week!
spam,Free credit score check! Click here now to see your score instantly. No obligation.
ham,Thanks for covering for me yesterday
spam,Urgent: Your subscription is expiring. Click to renew now and get 3 months free! Offer ends today.
ham,Let me know when youre free to chat
spam,Congratulations! Youve won a luxury cruise for two! Call our toll-free number now to claim.
ham,Running a bit late be there soon
spam,Special urgent offer just for you! Reply WIN to claim your share of 800000 pound prize!
ham,Good morning! Hope you have a great day
spam,Click here now for your free iPhone 15! Limited stock available. Offer valid for 24 hours only!
ham,Dont forget we have a team meeting at 2pm
spam,WINNER: Our National Lottery has picked you! To claim your 1000000 pound prize call now!
ham,Sounds good to me see you then
spam,You have earned a special reward! Click here to get your free bonus gift now!
ham,I will call you after lunch okay?
spam,Limited time offer! Buy one get one free today only. Urgent click here to redeem!
ham,Please send me the document when you get a chance
spam,Claim your free trial now! No credit card needed. Act quickly offer expires at midnight!
ham,I am running 5 minutes behind be there soon
spam,Congratulations your entry into our free prize draw was successful! You could win 1000 pounds!
ham,Do you want to grab coffee before the meeting?
spam,Your account shows a pending reward of 750 dollars. Call this toll free number to claim now!
ham,I finished the assignment will send it over shortly
spam,FREE gift waiting for you! Just click and fill this quick form to claim your exclusive prize!
ham,The weather is amazing today lets go for a walk
spam,win cash prizes daily! Free entry just text WIN to our number. Terms apply.
ham,Can you review the slides before we present tomorrow?
spam,URGENT security alert! Your password has been compromised. Reset it now by clicking here immediately!
ham,Just confirmed the hotel booking for next week
spam,Make 300 dollars per day working from home! Click here for free information and sign up now!
